Brand, Product_Name, Original_Price, Current_Price, Shipping
GIGABYTE,GIGABYTE GeForce RTX 3060 Ti GAMING OC PRO 8G (rev 2.0) Graphics Card| WINDFORCE 3x Cooling System| 8GB 256-bit GDDR6| GV-N306TGAMINGOC PRO-8GD Video Card,$1099.00 –,$1099.00 –,Free Shipping
GIGABYTE,GIGABYTE AORUS GeForce RTX 3060 ELITE 12G Graphics Card| 3 x WINDFORCE Fans| 12GB 192-bit GDDR6| GV-N3060AORUS E-12GD Video Card,$1070.24 –,$1070.24 –,$49.99 Shipping
MSI,MSI Ventus GeForce RTX 3060TI 8GB GDDR6 PCI Express 4.0 Video Card RTX 3060TI Ventus 3X 8G OC,$1229.99 (2 Offers)–,$1229.99 (2 Offers)–,Free Shipping
MSI,MSI Gaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Gaming Z Trio 12G LHR,$858.00 (2 Offers)–,$858.00 (2 Offers)–,Free Shipping
N/A,COLORFUL iGame GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 Video Card RTX 3070 Ti Advanced OC 8G,$1249.99 –,$1249.99 –,Free Shipping
EVGA,EVGA GeForce RTX 3070 Ti FTW3 ULTRA GAMING Video Card| 08G-P5-3797-KL| 8GB GDDR6X| iCX3 Technology| ARGB LED| Metal Backplate,$2119.50 –,$2119.50 –,Free Shipping
ASUS,ASUS TUF Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 Video Card TUF-RTX3070TI-O8G-GAMING,$1209.13 (2 Offers)–,$1209.13 (2 Offers)–,$49.99 Shipping
Corn Electronics,GEFORCE RTX3060 ICraft OC 12G S1 LHR Graphics Card|12GB 192-Bit GDDR6| NVIDIA Chip Support PCI Express 4.0|1320MHz Core Frequency and 15000MHz Video Memory Frequency,$879.99 –,$879.99 –,Free Shipping
N/A,COLORFUL iGaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 NB 12G LHR,$799.99 –,$799.99 –,Free Shipping
GIGABYTE,GIGABYTE Vision GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N307TVISION OC-8GD,$1149.13 (5 Offers)–,$1149.13 (5 Offers)–,$49.99 Shipping
